"Extension","File","Pattern"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-pyright.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-server.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-vendor.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-vendor.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-vendor.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-vendor.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\copilot-vendor.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\extension.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\mainSandboxWorker.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\mainSandboxWorker.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\mainSandboxWorker.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\pyright.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\server.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\threadSandboxWorker.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\threadSandboxWorker.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\threadSandboxWorker.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\typeServer.bundle.js","venv"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\vendor.bundle.js","spawn"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\vendor.bundle.js","exec"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\vendor.bundle.js","shell"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\vendor.bundle.js","child_process"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\dist\vendor.bundle.js","pip"
"ms-python.vscode-pylance-2026.2.1","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-pylance-2026.2.1\typings\string.d.ts","shell"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","spawn"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","exec"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","shell"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","child_process"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","pip"
"ms-python.vscode-python-envs-1.34.0-win32-x64","C:\Users\enzo1\.vscode\extensions\ms-python.vscode-python-envs-1.34.0-win32-x64\dist\extension.js","venv"
"ms-vscode.powershell-2025.4.0","C:\Users\enzo1\.vscode\extensions\ms-vscode.powershell-2025.4.0\dist\extension.js","spawn"
"ms-vscode.powershell-2025.4.0","C:\Users\enzo1\.vscode\extensions\ms-vscode.powershell-2025.4.0\dist\extension.js","exec"
"ms-vscode.powershell-2025.4.0","C:\Users\enzo1\.vscode\extensions\ms-vscode.powershell-2025.4.0\dist\extension.js","shell"
"ms-vscode.powershell-2025.4.0","C:\Users\enzo1\.vscode\extensions\ms-vscode.powershell-2025.4.0\dist\extension.js","child_process"
"ms-vscode.powershell-2025.4.0","C:\Users\enzo1\.vscode\extensions\ms-vscode.powershell-2025.4.0\dist\extension.js","pip"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\out\extension.js","spawn"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\out\extension.js","exec"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\out\extension.js","shell"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\out\extension.js","child_process"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\out\extension.js","pip"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\webview\assets\_baseUniq-jitSt_aK.js","exec"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\webview\assets\3Dmol-BnqFAKJQ.js","exec"
"openai.chatgpt-26.609.30741-win32-x64","C:\Users\enzo1\.vscode\extensions\openai.chatgpt-26.609.30741-win32-x64\webview\assets\3Dmol-BnqFAKJQ.js","shell"
